Codigo;Asistio;No asistio
24001;;X
24002;X;
24003;X;
24004;X;
24005;X;
24006;X;
24007;X;
24008;X;
24009;X;
24010;X;
24011;X;
24012;X;
24013;X;
24014;X;
24015;;X
24016;X;
24017;X;
24018;X;
24019;X;
24020;X;
24021;X;
24022;;X
24023;X;
24024;X;
24025;X;
24026;X;
24027;X;
24028;X;
24029;X;
24030;X;
24031;X;
24032;X;
24033;;X
24034;X;
24035;X;
24036;X;
24037;X;
24038;X;
24039;X;
24040;X;
24041;X;
24042;X;
24043;X;
24044;X;
24045;X;
24046;X;
24047;X;
24048;X;
24049;X;
24050;X;
24051;X;
24052;X;
24053;X;
24054;X;
24055;X;
24056;X;
24057;X;
24058;X;
24059;X;
24060;X;
24061;X;
24062;X;
24063;X;
24064;X;
24065;X;
24066;X;
24067;;X
24068;X;
24069;;X
24070;X;
24071;X;
24072;X;
24073;X;
24074;X;
24075;X;
24076;X;
24077;X;
24078;X;
24079;X;
24080;X;
24081;X;
24082;X;
24083;X;
24084;X;
24085;X;
24086;X;
24087;X;
24088;X;
24089;X;
24090;X;
24091;X;
24092;X;
24093;X;
24094;X;
24095;X;
24096;X;
24097;X;
24098;X;
24099;X;
24100;X;
24101;X;
24102;X;
24103;X;
24104;X;
24105;X;
24106;X;
24107;X;
24108;X;
24109;;X
24110;X;
24111;;X
24112;X;
24113;X;
24114;X;
24115;X;
24116;X;
24117;X;
24118;X;
24119;X;
24120;X;
24121;X;
24122;X;
24123;X;
24124;X;
24125;X;
24126;X;
24127;X;
24128;X;
24129;X;
24130;X;
24131;X;
24132;X;
24133;X;
24134;X;
24135;X;
24136;X;
24137;X;
24138;X;
24139;X;
24140;X;
24141;;X
24142;X;
24143;X;
24144;X;
24145;X;
24146;X;
24147;X;
24148;X;
24149;X;
24150;X;
24151;X;
24152;X;
24153;X;
24154;X;
24155;X;
24156;X;
24157;X;
24158;X;
24159;X;
24160;X;
24161;X;
24162;X;
24163;X;
24164;X;
24165;X;
24166;X;
24167;X;
24168;X;
24169;X;
24170;X;
24171;X;
24172;X;
24173;X;
24174;X;
24175;X;
24176;X;
24177;X;
24178;X;
24179;X;
24180;X;
24181;X;
24182;X;
24183;X;
24184;X;
24185;X;
24186;X;
24187;X;
24188;X;
24189;X;
24190;X;
24191;X;
24192;X;
24193;X;
24194;X;
24195;X;
24196;X;
24197;X;
24198;X;
24199;X;
24200;X;
24201;X;
24202;X;
24203;X;
24204;X;
24205;X;
24206;X;
24207;X;
24208;X;
24209;X;
24210;X;
24211;X;
24212;X;
24213;X;
24214;X;
24215;X;
24216;X;
24217;X;
24218;X;
24219;X;
24220;X;
24221;X;
24222;X;
24223;X;
24224;X;
24225;X;
24226;X;
24227;X;
24228;X;
24229;X;
24230;X;
24231;X;
24232;X;
24233;X;
24234;X;
24235;X;
24236;X;
24237;X;
24238;X;
24239;X;
24240;X;
24241;X;
24242;X;
24243;X;
24244;X;
24245;X;
24246;X;
24247;X;
24248;X;
24249;X;
24250;X;
24251;X;
24252;X;
24253;X;
24254;X;
24255;X;
24256;X;
24257;X;
24258;X;
24259;X;
24260;X;
24261;X;
24262;X;
24335;X;
